행정구역,총인구수,세대수,남자 인구수,여자 인구수,남여 비율
충청남도 천안시,658107,297013,336326,321781,1.05
충청남도 천안시 동남구,255504,116752,129471,126033,1.03
충청남도 천안시 동남구 목천읍,24325,11322,12451,11874,1.05
충청남도 천안시 동남구 풍세면,4080,2176,2243,1837,1.22
충청남도 천안시 동남구 광덕면,4298,2370,2160,2138,1.01
충청남도 천안시 동남구 북면,4341,2448,2268,2073,1.09
충청남도 천안시 동남구 성남면,3100,1632,1619,1481,1.09
충청남도 천안시 동남구 수신면,2261,1298,1231,1030,1.2
충청남도 천안시 동남구 병천면,6138,3424,3271,2867,1.14
충청남도 천안시 동남구 동면,2083,1180,1118,965,1.16
충청남도 천안시 동남구 중앙동,5386,3156,2825,2561,1.1
충청남도 천안시 동남구 문성동,4334,2598,2267,2067,1.1
충청남도 천안시 동남구 원성1동,8627,4243,4454,4173,1.07
충청남도 천안시 동남구 원성2동,9209,4844,4730,4479,1.06
충청남도 천안시 동남구 봉명동,18071,9170,9270,8801,1.05
충청남도 천안시 동남구 일봉동,23088,8697,11488,11600,0.99
충청남도 천안시 동남구 신방동,44438,18514,22712,21726,1.05
충청남도 천안시 동남구 청룡동,54964,21421,27457,27507,1
충청남도 천안시 동남구 신안동,36761,18259,17907,18854,0.95
충청남도 천안시 서북구,402603,180261,206855,195748,1.06
충청남도 천안시 서북구 성환읍,23851,11191,12444,11407,1.09
충청남도 천안시 서북구 성거읍,21561,9639,11307,10254,1.1
충청남도 천안시 서북구 직산읍,20004,9715,10899,9105,1.2
충청남도 천안시 서북구 입장면,8434,4486,4560,3874,1.18
충청남도 천안시 서북구 성정1동,17508,9579,9224,8284,1.11
충청남도 천안시 서북구 성정2동,25813,17531,13950,11863,1.18
충청남도 천안시 서북구 쌍용1동,13806,6285,6772,7034,0.96
충청남도 천안시 서북구 쌍용2동,37381,14644,18384,18997,0.97
충청남도 천안시 서북구 쌍용3동,18787,8111,9069,9718,0.93
충청남도 천안시 서북구 백석동,40541,14525,20367,20174,1.01
충청남도 천안시 서북구 불당동,70350,26613,35274,35076,1.01
충청남도 천안시 서북구 부성1동,47097,23292,24294,22803,1.07
충청남도 천안시 서북구 부성2동,57470,24650,30311,27159,1.12
