행정구역,총인구수,연령구간인구수,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
충청남도 천안시,658107 ,598878 ,67666 ,95503 ,102519 ,111471 ,103669 ,69259 ,30619 ,15764 ,2324 ,84 
충청남도 천안시 동남구,255504 ,236469 ,25653 ,34763 ,31852 ,41838 ,43292 ,33702 ,15739 ,8332 ,1251 ,47 
충청남도 천안시 동남구 목천읍,24325 ,22754 ,2602 ,2863 ,2431 ,4306 ,4590 ,3256 ,1615 ,955 ,133 ,3 
충청남도 천안시 동남구 풍세면,4080 ,3971 ,222 ,384 ,315 ,426 ,743 ,963 ,527 ,333 ,57 ,1 
충청남도 천안시 동남구 광덕면,4298 ,4189 ,187 ,340 ,285 ,421 ,844 ,1091 ,566 ,378 ,75 ,2 
충청남도 천안시 동남구 북면,4341 ,4225 ,224 ,389 ,323 ,509 ,828 ,1024 ,511 ,346 ,70 ,1 
충청남도 천안시 동남구 성남면,3100 ,3032 ,153 ,229 ,174 ,313 ,579 ,783 ,454 ,289 ,54 ,4 
충청남도 천안시 동남구 수신면,2261 ,2214 ,82 ,173 ,167 ,224 ,405 ,541 ,341 ,251 ,29 ,1 
충청남도 천안시 동남구 병천면,6138 ,5895 ,352 ,757 ,560 ,736 ,1126 ,1219 ,651 ,423 ,69 ,2 
충청남도 천안시 동남구 동면,2083 ,2060 ,68 ,130 ,88 ,163 ,409 ,541 ,356 ,256 ,45 ,4 
충청남도 천안시 동남구 중앙동,5386 ,5206 ,273 ,541 ,497 ,641 ,1025 ,1190 ,672 ,332 ,34 ,1 
충청남도 천안시 동남구 문성동,4334 ,4173 ,224 ,651 ,576 ,580 ,734 ,818 ,384 ,174 ,31 ,1 
충청남도 천안시 동남구 원성1동,8627 ,8247 ,647 ,1057 ,829 ,1182 ,1682 ,1556 ,825 ,400 ,65 ,4 
충청남도 천안시 동남구 원성2동,9209 ,8942 ,631 ,1141 ,818 ,1298 ,1790 ,1690 ,985 ,529 ,60 ,0 
충청남도 천안시 동남구 봉명동,18071 ,17008 ,1408 ,2812 ,2488 ,2884 ,3218 ,2572 ,1095 ,463 ,66 ,2 
충청남도 천안시 동남구 일봉동,23088 ,21097 ,3176 ,2676 ,2404 ,4281 ,4043 ,2627 ,1238 ,569 ,79 ,4 
충청남도 천안시 동남구 신방동,44438 ,40130 ,5784 ,6084 ,6496 ,8833 ,6976 ,3695 ,1406 ,749 ,104 ,3 
충청남도 천안시 동남구 청룡동,54964 ,49340 ,6966 ,6874 ,7852 ,10061 ,8480 ,5611 ,2250 ,1064 ,174 ,8 
충청남도 천안시 동남구 신안동,36761 ,33986 ,2654 ,7662 ,5549 ,4980 ,5820 ,4525 ,1863 ,821 ,106 ,6 
충청남도 천안시 서북구,402603 ,362409 ,42013 ,60740 ,70667 ,69633 ,60377 ,35557 ,14880 ,7432 ,1073 ,37 
충청남도 천안시 서북구 성환읍,23851 ,22773 ,2163 ,2796 ,1993 ,3570 ,4244 ,4087 ,2436 ,1315 ,165 ,4 
충청남도 천안시 서북구 성거읍,21561 ,19874 ,2327 ,2535 ,2633 ,4057 ,3752 ,2656 ,1196 ,640 ,75 ,3 
충청남도 천안시 서북구 직산읍,20004 ,18647 ,1847 ,2484 ,2685 ,3647 ,3551 ,2526 ,1167 ,661 ,76 ,3 
충청남도 천안시 서북구 입장면,8434 ,8153 ,509 ,866 ,692 ,1017 ,1759 ,1718 ,944 ,547 ,100 ,1 
충청남도 천안시 서북구 성정1동,17508 ,16620 ,1132 ,2609 ,2563 ,2583 ,3300 ,2588 ,1260 ,510 ,70 ,5 
충청남도 천안시 서북구 성정2동,25813 ,24899 ,1190 ,6549 ,5608 ,3790 ,3632 ,2617 ,1002 ,435 ,72 ,4 
충청남도 천안시 서북구 쌍용1동,13806 ,12996 ,1202 ,2376 ,1845 ,1865 ,2446 ,2060 ,785 ,359 ,58 ,0 
충청남도 천안시 서북구 쌍용2동,37381 ,34245 ,4792 ,5956 ,4908 ,6495 ,6711 ,3474 ,1240 ,582 ,86 ,1 
충청남도 천안시 서북구 쌍용3동,18787 ,17463 ,2295 ,2602 ,2266 ,3039 ,3541 ,2184 ,924 ,527 ,84 ,1 
충청남도 천안시 서북구 백석동,40541 ,35187 ,5705 ,5078 ,6546 ,7924 ,5729 ,2789 ,931 ,418 ,61 ,6 
충청남도 천안시 서북구 불당동,70350 ,60092 ,9599 ,8694 ,14092 ,14325 ,8985 ,3004 ,871 ,438 ,78 ,6 
충청남도 천안시 서북구 부성1동,47097 ,43117 ,4036 ,10189 ,9486 ,7462 ,6798 ,3151 ,1297 ,612 ,84 ,2 
충청남도 천안시 서북구 부성2동,57470 ,48343 ,5216 ,8006 ,15350 ,9859 ,5929 ,2703 ,827 ,388 ,64 ,1 
